City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Perth,AU,81.09,clear sky,-31.9333,115.8333,Quest on Rheola
277,Hithadhoo,MV,83.43,overcast clouds,-0.6,73.0833,Scoop Guest House
282,Dingle,PH,88.03,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
283,Libreville,GA,77.02,few clouds,0.3925,9.4537,Le Méridien Re-Ndama
286,Monrovia,LR,79.23,light rain,6.3005,-10.7969,Sunset Inn
300,Buala,SB,78.8,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
307,Hirara,JP,77.27,light intensity shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
308,Soyo,AO,76.14,light rain,-6.1349,12.3689,Hotel Mpampa
309,Meulaboh,ID,80.8,scattered clouds,4.1363,96.1285,Kost Pria
324,Byron Bay,AU,75.09,overcast clouds,-28.65,153.6167,Backpackers Inn
328,Ilhabela,BR,77.2,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
332,Tevaitoa,PF,82.65,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
334,Davila,PH,85.98,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
335,Xuddur,SO,75.24,scattered clouds,4.1213,43.8894,Banjanay Hotel
336,Sao Joao Da Barra,BR,78.24,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
340,Boa Vista,BR,78.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
343,Belmonte,BR,76.96,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
344,Det Udom,TH,85.95,broken clouds,14.906,105.0784,Chatsuda Resort
349,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
352,Manaure,CO,79.09,broken clouds,11.7751,-72.4445,Hotel Palaaima
358,Port-Gentil,GA,81.63,overcast clouds,-0.7193,8.7815,Fengshui Residence
359,Isangel,VU,82.56,overcast clouds,-19.55,169.2667,Tanna Lodge
361,Namatanai,PG,84.09,light rain,-3.6667,152.4333,Seagulls Inn Namatani
362,Nabire,ID,85.86,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
366,Belmopan,BZ,75.58,overcast clouds,17.25,-88.7667,Villa San Juan
381,Gidam,IN,78.26,overcast clouds,18.9833,81.4,Dhanshree Lodge And DormItory
387,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
395,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
401,Jambi,ID,84.13,broken clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
402,Bengkulu,ID,82.92,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
404,Daru,PG,83.79,broken clouds,-9.0763,143.2092,Daru Lodge
411,Ourossogui,SN,80.22,few clouds,15.6064,-13.3211,Hotel welma
414,Ende,ID,85.39,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
415,Honiara,SB,82.56,overcast clouds,-9.4333,159.95,Heritage Park Hotel
419,Puerto El Triunfo,SV,81.61,overcast clouds,13.2833,-88.55,Hotel Jardin
422,Bongaree,AU,79.05,overcast clouds,-27.0797,153.1586,The Gums Anchorage
