City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saint-Philippe,RE,-21.3585,55.7679,74.21,84,22,7.02,few clouds
80,Mandera,KE,3.9366,41.867,81.18,65,98,5.68,light rain
81,Thompson,CA,55.7435,-97.8558,-0.24,65,20,10.36,few clouds
82,Okha,RU,53.5739,142.9478,27.12,95,100,4.34,overcast clouds
83,Panzhihua,CN,26.5851,101.7128,64.58,63,35,1.48,scattered clouds
84,Belyy Yar,RU,53.6039,91.3903,24.69,62,0,11.18,clear sky
85,Cherskiy,RU,68.75,161.3,-5.57,88,100,3.83,overcast clouds
86,Carnarvon,AU,-24.8667,113.6333,82.47,74,40,10.36,scattered clouds
87,Mount Gambier,AU,-37.8333,140.7667,67.91,56,5,10.36,clear sky
88,Souillac,MU,-20.5167,57.5167,75.58,94,40,4.61,scattered clouds
89,Lewiston,US,44.1003,-70.2148,44.94,87,100,6.91,overcast clouds
90,East London,ZA,-33.0153,27.9116,64.11,87,88,1.52,light rain
91,Codrington,AU,-38.2667,141.9667,67.06,58,6,6.26,clear sky
92,Ribeira Grande,PT,38.5167,-28.7,58.37,87,100,15.03,overcast clouds
93,Castro,BR,-24.7911,-50.0119,63.09,97,100,2.73,overcast clouds
94,Qaanaaq,GL,77.484,-69.3632,2.84,71,100,5.7,overcast clouds
95,Birjand,IR,32.8663,59.2211,57.67,23,0,6.91,clear sky
96,Kodiak,US,57.79,-152.4072,42.31,75,75,12.66,broken clouds
97,Tres Lagoas,BR,-20.7511,-51.6783,73.81,87,92,2.21,overcast clouds
98,Guerrero Negro,MX,27.9769,-114.0611,73.54,37,100,11.95,overcast clouds
99,Faanui,PF,-16.4833,-151.75,82.53,71,74,13.65,broken clouds
100,Walvis Bay,NA,-22.9575,14.5053,59.95,88,12,1.14,few clouds
101,Magistralnyy,RU,56.1725,107.4458,16.23,85,22,1.34,few clouds
102,Iralaya,HN,15.0,-83.2333,78.01,75,57,9.91,broken clouds
103,Vaini,TO,-21.2,-175.2,82.56,69,20,10.36,few clouds
104,Anadyr,RU,64.75,177.4833,9.1,78,0,4.47,clear sky
105,Touros,BR,-5.1989,-35.4608,79.68,84,100,11.36,light rain
106,Rio Gallegos,AR,-51.6226,-69.2181,60.85,41,0,17.27,clear sky
107,Vanimo,PG,-2.6741,141.3028,82.08,75,100,3.09,overcast clouds
108,Astoria,US,46.1879,-123.8313,52.47,80,20,8.05,few clouds
109,Pilar,BR,-9.5972,-35.9567,73.33,92,27,2.91,light rain
110,Kosh-Agach,RU,50.0,88.6667,-5.64,86,64,2.26,broken clouds
111,Longyearbyen,SJ,78.2186,15.6401,-0.56,71,20,2.3,few clouds
112,Luderitz,NA,-26.6481,15.1594,61.14,78,0,12.68,clear sky
113,Nongan,CN,44.382,125.1685,42.39,63,0,0.49,clear sky
114,Celestun,MX,20.8667,-90.4,71.4,54,95,14.52,overcast clouds
115,Chuy,UY,-33.6971,-53.4616,59.49,93,100,13.94,overcast clouds
116,Avarua,CK,-21.2078,-159.775,82.45,83,100,12.66,overcast clouds
117,Chase,CA,50.8165,-119.6857,54.48,72,100,2.57,overcast clouds
118,Wad Madani,SD,14.4012,33.5199,72.1,11,5,17.94,clear sky
119,Fortuna,US,40.5982,-124.1573,57.9,76,0,14.97,clear sky
120,Fort Nelson,CA,58.8053,-122.7002,18.99,53,100,4.61,overcast clouds
121,Dikson,RU,73.5069,80.5464,7.14,92,100,7.05,overcast clouds
122,Aripuana,BR,-9.1667,-60.6333,74.28,97,38,0.69,light rain
123,Bredasdorp,ZA,-34.5322,20.0403,62.17,79,69,10.47,broken clouds
124,Aklavik,CA,68.2191,-135.0107,3.31,88,96,12.86,overcast clouds
125,Sao Pedro Do Sul,BR,-29.6206,-54.1789,63.25,75,40,6.6,scattered clouds
126,Ardalstangen,NO,61.2371,7.6983,40.39,99,100,7.56,overcast clouds
127,Port Elizabeth,ZA,-33.918,25.5701,63.32,85,0,5.75,clear sky
128,Orange Cove,US,36.6244,-119.3137,85.66,44,99,3.15,overcast clouds
129,Port Hardy,CA,50.6996,-127.4199,46.58,87,100,4.61,light intensity shower rain
130,Mehamn,NO,71.0357,27.8492,23.13,67,100,15.88,light snow
131,Destin,US,30.3935,-86.4958,66.2,58,0,6.91,clear sky
132,Tessalit,ML,20.1986,1.0114,84.61,14,96,13.0,overcast clouds
133,Clyde River,CA,70.4692,-68.5914,-9.17,70,100,3.44,light snow
134,Santa Fe,AR,-31.6333,-60.7,66.02,75,4,5.01,light rain
135,Pitsunda,GE,43.1592,40.3378,41.18,76,100,4.18,overcast clouds
136,Rafaela,AR,-31.2503,-61.4867,62.98,53,0,3.0,clear sky
137,Kodinsk,RU,58.6881,99.1844,11.61,98,100,4.7,overcast clouds
138,Ramnagar,IN,29.4,79.1167,64.4,24,0,5.64,clear sky
139,Victoria,HK,22.2855,114.1577,80.96,88,68,15.01,broken clouds
140,Vangaindrano,MG,-23.35,47.6,74.21,94,38,3.74,light rain
141,Mansa,IN,29.9833,75.3833,65.16,28,0,4.92,clear sky
142,Jiuquan,CN,39.7432,98.5174,34.65,32,100,5.53,overcast clouds
143,Laurel,US,39.0993,-76.8483,55.8,54,100,11.01,overcast clouds
144,Lorengau,PG,-2.0226,147.2712,83.88,74,100,9.8,overcast clouds
145,Iqaluit,CA,63.7506,-68.5145,20.93,92,100,24.0,light snow
146,Jalu,LY,29.0331,21.5482,54.1,34,0,1.3,clear sky
147,Westport,US,41.1415,-73.3579,52.09,60,100,5.75,overcast clouds
148,Lata,PT,40.1629,-8.3327,54.91,80,62,4.99,broken clouds
149,Bilibino,RU,68.0546,166.4372,6.58,85,100,8.59,overcast clouds
150,Hasaki,JP,35.7333,140.8333,61.29,76,100,26.96,light rain
151,Kahului,US,20.8947,-156.47,82.98,64,40,25.32,scattered clouds
152,Hilo,US,19.7297,-155.09,80.33,59,0,8.05,clear sky
153,Sakaiminato,JP,35.55,133.2333,62.53,77,75,25.32,light rain
154,Klaksvik,FO,62.2266,-6.589,41.92,93,100,19.51,overcast clouds
155,Sydney Mines,CA,46.2367,-60.2177,34.11,95,100,23.02,light intensity drizzle rain
156,Severo-Yeniseyskiy,RU,60.3725,93.0408,17.58,85,100,10.83,overcast clouds
157,Guarapari,BR,-20.6667,-40.4975,77.9,92,87,10.4,overcast clouds
158,Pochutla,MX,15.7432,-96.4661,81.82,78,100,4.43,overcast clouds
159,Lazaro Cardenas,MX,17.9583,-102.2,75.63,55,100,6.44,overcast clouds
160,Antalaha,MG,-14.9003,50.2788,75.7,91,57,4.16,broken clouds
161,Zhigansk,RU,66.7697,123.3711,7.81,95,100,7.65,overcast clouds
162,Sorong,ID,-0.8833,131.25,82.08,72,73,3.04,broken clouds
163,Cabo San Lucas,MX,22.8909,-109.9124,77.5,60,20,6.91,few clouds
164,Nizhnevartovsk,RU,60.9344,76.5531,10.42,79,100,15.99,light snow
165,Sao Filipe,CV,14.8961,-24.4956,70.57,72,2,9.19,clear sky
166,Ambilobe,MG,-13.2,49.05,74.48,94,69,2.3,broken clouds
167,Haines Junction,CA,60.7522,-137.5108,40.95,52,80,8.05,broken clouds
168,San Cristobal,VE,7.7669,-72.225,73.58,71,99,2.95,overcast clouds
169,Pecos,US,31.4229,-103.4932,81.43,7,0,4.61,clear sky
170,Upernavik,GL,72.7868,-56.1549,1.45,95,100,9.35,overcast clouds
171,Georgetown,MY,5.4112,100.3354,84.13,86,20,2.3,few clouds
172,Grand Baie,MU,-20.0182,57.5802,77.45,87,6,1.01,clear sky
173,Ironton,US,38.5368,-82.6829,46.8,75,100,9.22,overcast clouds
174,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,64,75,4.47,broken clouds
175,Phalodi,IN,27.1333,72.3667,74.73,14,0,3.27,clear sky
176,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,19.57,scattered clouds
177,Qasigiannguit,GL,68.8193,-51.1922,16.05,93,100,4.18,overcast clouds
178,Khatanga,RU,71.9667,102.5,-14.39,100,77,4.54,broken clouds
179,Tabou,CI,4.423,-7.3528,78.21,89,95,5.01,overcast clouds
180,Bathurst,AU,-33.4166,149.5806,69.82,64,98,13.42,light rain
181,Tocopilla,CL,-22.092,-70.1979,68.31,68,3,6.29,clear sky
182,Ponta Do Sol,PT,32.6667,-17.1,62.01,74,100,6.58,overcast clouds
183,Richards Bay,ZA,-28.783,32.0377,68.54,93,69,7.25,light rain
184,Grand Forks,US,47.9417,-97.4337,24.73,69,40,19.57,scattered clouds
185,Kavieng,PG,-2.5744,150.7967,83.84,66,100,6.93,overcast clouds
186,Inhambane,MZ,-23.865,35.3833,77.36,89,100,6.11,light rain
187,Kasongo-Lunda,CD,-6.4667,16.8167,70.05,98,100,0.92,overcast clouds
188,Luanda,AO,-8.8368,13.2343,79.29,85,100,0.78,overcast clouds
189,Dire Dawa,ET,9.5931,41.8661,69.37,83,30,4.41,scattered clouds
190,Surt,LY,31.2089,16.5887,55.02,61,0,16.46,clear sky
191,Marsa Matruh,EG,31.3525,27.2453,50.2,93,0,8.05,clear sky
192,Lebu,CL,-37.6167,-73.65,55.24,90,0,12.66,clear sky
193,Pareora,NZ,-44.4871,171.2132,67.17,67,99,6.08,overcast clouds
194,Severo-Kurilsk,RU,50.6789,156.125,32.09,77,43,16.2,scattered clouds
195,Sinnamary,GF,5.3833,-52.95,77.67,86,94,14.03,overcast clouds
196,Pevek,RU,69.7008,170.3133,-2.61,86,95,0.51,overcast clouds
197,Villamontes,BO,-21.25,-63.5,66.06,56,100,3.62,overcast clouds
198,Nelson Bay,AU,-32.7167,152.15,68.05,93,100,1.01,light rain
199,Saint-Pierre,RE,-21.3393,55.4781,74.28,78,0,5.75,clear sky
200,Kalmunai,LK,7.4167,81.8167,76.95,87,5,6.35,clear sky
201,Tiksi,RU,71.6872,128.8694,-3.51,99,48,2.59,scattered clouds
202,Tuburan,PH,6.6439,122.2736,86.09,71,7,2.77,clear sky
203,Samarinda,ID,-0.5,117.15,83.23,73,81,2.08,broken clouds
204,Juba,SS,4.8517,31.5825,74.66,69,12,3.49,few clouds
205,Kampong Thum,KH,12.7111,104.8887,85.39,64,74,6.76,broken clouds
206,North Las Vegas,US,36.1989,-115.1175,90.82,9,0,12.66,clear sky
207,Prince Rupert,CA,54.3161,-130.3201,42.89,93,100,6.91,light rain
208,Ostrovnoy,RU,68.0531,39.5131,22.78,91,100,22.55,light snow
209,Qui Nhon,VN,13.7667,109.2333,82.85,69,34,5.35,scattered clouds
210,Hami,CN,42.8,93.45,38.23,35,100,9.93,overcast clouds
211,Chepareria,KE,1.3077,35.2039,61.9,83,96,4.25,light rain
212,Batalha,BR,-9.6778,-37.1247,76.62,84,37,7.0,scattered clouds
